Types of Data,,Quicksort,Heapsort,Mergesort,Pythonsort,Numpysort
Sorted,,0.07706708,0.006292038,0.00292312,2.39E-05,6.98E-05
Reversed,,0.06199364,0.003974002,0.003823736,2.31E-05,7.26E-05
Random,,0.005959418,0.011186195,0.007484258,0.000307295,3.00E-05
Identical,,4.85E-07,1.47E-06,4.00E-07,4.86E-07,3.09E-06
